name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types,final_url,https,viewport,score,probleme,empfehlung,status,fehler
Prost & Mahlzeit – Mainz,"Schusterstraße 18 - 20, 55116 Mainz, Deutschland",06131 2494031,http://www.prostundmahlzeit-mainz.de/,True,78,feste Pixel-Breite; keine Media Queries,OK – ggf. kleine Updates,"german_restaurant,brewpub,wine_bar,beer_garden,pub,european_restaurant,bar,restaurant,food,point_of_interest,establishment",https://www.prostundmahlzeit-mainz.de/,True,True,78,feste Pixel-Breite; keine Media Queries,OK – ggf. kleine Updates,200,
ALEX Mainz,"Gutenbergpl. 14, 55116 Mainz, Deutschland",06131 1447350,http://www.dein-alex.de/mainz,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,"restaurant,brunch_restaurant,breakfast_restaurant,snack_bar,cafe,meal_takeaway,food,point_of_interest,establishment",https://www.dein-alex.de/mainz,True,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,200,
Café Dinges Mainz,"Mailandsgasse 2, 55116 Mainz-Rebstockplatz, Deutschland",06131 227833,http://www.cafe-dinges.com/,True,80,kein HTTPS,OK – ggf. kleine Updates,"cafe,food,point_of_interest,establishment",http://www.cafe-dinges.com/offline,False,True,80,kein HTTPS,OK – ggf. kleine Updates,200,
"Ristorante alCortile Holzofenpizzeria con Cucina ''1. Mainzer Holzofenpizzeria""","Kartäuserstraße 14, 55116 Mainz, Deutschland",06131 617878,http://www.alcortile.de/,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,"italian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment",https://www.alcortile.de/index.php?id=97,True,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,200,
Hanoi,"Münsterstraße 17-19, 55116 Mainz, Deutschland",06131 6962302,http://hanoi-mainz.de/,True,80,<font>-Tags; feste Pixel-Breite,OK – ggf. kleine Updates,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment",https://hanoi-mainz.de/,True,True,80,<font>-Tags; feste Pixel-Breite,OK – ggf. kleine Updates,200,
HANS IM GLÜCK - MAINZ Gutenbergplatz,"Gutenbergpl. 6, 55116 Mainz, Deutschland",06131 926604,https://hansimglueck-burgergrill.de/burger-restaurant/mainz-gutenbergplatz/?utm_source=google&utm_medium=yext&utm_campaign=33,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,"hamburger_restaurant,vegan_restaurant,lounge_bar,vegetarian_restaurant,night_club,bar_and_grill,bar,american_restaurant,restaurant,food,point_of_interest,establishment",https://hansimglueck-burgergrill.de/burger-restaurant/mainz-gutenbergplatz/,True,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,200,
El Burro,"Dominikanerstraße 2, 55116 Mainz, Deutschland",06131 2144795,http://www.el-burro.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"mexican_restaurant,restaurant,food,point_of_interest,establishment",https://el-burro.de/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Trattoria Peperoncino,"Emmeransstraße 1, 55116 Mainz-Altstadt, Deutschland",06131 5540377,http://www.peperoncino-mainz.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.peperoncino-mainz.de/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Hyu Sushi 124,"Breite Str. 22, 55124 Mainz, Deutschland",06131 2770199,https://hyu124.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"sushi_restaurant,japanese_restaurant,restaurant,point_of_interest,food,establishment",https://hyu124.de/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Bellini’s Herzstück,"Adam-Karrillon-Straße 4, 55118 Mainz, Deutschland",0177 7318456,https://sellwerk.de/firmenprofil/bellinis-herzstueck,True,82,IE-Kompatibilität; alter Generator (iweb),OK – ggf. kleine Updates,"bar,cafe,food,point_of_interest,establishment",https://sellwerk.de/firmenprofil/bellinis-herzstueck,True,True,82,IE-Kompatibilität; alter Generator (iweb),OK – ggf. kleine Updates,200,
